player_id,player,team,average_z_score,matches_played
53993.0,Roselord Borgella,Haiti Women's,1.2118259710881902,3
32054.0,Jéssica da Silva,Portugal Women's,1.2112750697808188,3
31629.0,Anissa Lahmari,Morocco Women's,1.2049049342495641,3
4638.0,Drew Spence,Jamaica Women's,1.2014361700065763,4
41010.0,Kayla McCoy,Jamaica Women's,1.2011653230255843,1
4961.0,Samantha May Kerr,Australia Women's,1.2007266312672638,4
10151.0,Jennifer Hermoso Fuentes,Spain Women's,1.1970772949558257,7
403278.0,María Catalina Usme Pineda,Colombia Women's,1.1788578535986374,5
4659.0,Ramona Bachmann,Switzerland Women's,1.174316770488136,4
11338.0,Caitlin Jade Foord,Australia Women's,1.1649537277622504,7
401733.0,Sarina Isabel Calpo Bolden,Philippines Women's,1.1595192390949067,3
25612.0,Jessie Alexandra Fleming,Canada Women's,1.1556262290791697,2
34483.0,Priscila Chinchilla,Costa Rica Women's,1.135125285157226,3
105708.0,Kerolin Nicoli Israel Ferraz,Brazil Women's,1.130492363819349,3
10121.0,Eugénie Le Sommer,France Women's,1.1269360891533458,4
35693.0,Mary Boio Fowler,Australia Women's,1.1200578167495088,6
10385.0,Ada Stolsmo Hegerberg,Norway Women's,1.1167099285054767,2
10159.0,Diana Micaela Abreu de Sousa e Silva,Portugal Women's,1.114296091029003,2
49172.0,Sophia Olivia Smith,United States Women's,1.108677688177604,4
25482.0,Jiahui Lou,China PR Women's,1.1053302375192084,3
24706.0,Sophie Roman Haug,Norway Women's,1.088313158309654,3
10514.0,Guro Reiten,Norway Women's,1.0863429747418367,4
131631.0,Evarine Susan Katongo,Zambia Women's,1.0847648066862436,3
32355.0,Felicitas Rauch,Germany Women's,1.0810883020661546,1
10167.0,Tatiana Vanessa Ferreira Pinto,Portugal Women's,1.0530340886535403,3
5053.0,Linda Maserame Motlhalo,South Africa Women's,1.035104841713372,4
30958.0,Melissa Herrera Monge,Costa Rica Women's,1.0295978801005872,3
10137.0,Kadidiatou Diani,France Women's,1.0278089904436631,5
25538.0,Jody Brown,Jamaica Women's,1.0239269064225316,4
15620.0,Katie McCabe,Republic of Ireland Women's,1.0218408303394213,3
402655.0,Sakina Ouzraoui Diki,Morocco Women's,1.0060040828344001,4
25511.0,Jermaine Seoposenwe,South Africa Women's,1.0015574916450642,4
25453.0,Geum-Min Lee,Korea Republic Women's,0.9747857990143284,2
25632.0,Yui Hasegawa,Japan Women's,0.9744993350420256,5
135571.0,Chiara Beccari,Italy Women's,0.9652843189045536,3
46830.0,Batcheba Louis,Haiti Women's,0.9405710665397927,3
62666.0,Ingrid Filippa Angeldal,Sweden Women's,0.9311679360329385,6
50153.0,Rocío Gálvez Luna,Spain Women's,0.9290656985361153,1
402019.0,Chengshu Wu,China PR Women's,0.9259490910237561,3
370851.0,Sophie Wais Braun,Argentina Women's,0.9222913612377388,3
402793.0,Katherine Lineth Castillo Macías,Panama Women's,0.9155861912055532,2
25602.0,Mariana Valeria Larroquette,Argentina Women's,0.8540909402281769,3
